item_id,source,topic_raw,category,caption,article_lead,caption_len_tokens
997854,guardian,sustainable-business,business_economy,The hands of youth farm workers in tobacco fields of North Carolina,"Nearly every hot, humid North Carolina summer morning, 15-year-old Eddie Ramirez wakes up at 4am, slips on a thick, long sleeve T-shirt and boards a school bus with his mother in Snow Hill, North Carolina. The bus is cramped – not with students, but with up to 40 migrant farm workers on the way to work in a tobacco field. Ramirez began this work – hand-picking tobacco for shifts up to 12 hours in his school holidays and sometimes during term – when he was just 12 years old. He is among 141 youth farm workers featured in a report released Wednesday by international human rights group Human Rights Watch (HRW), documenting child labor in tobacco fields in the southern United States. Eighty children come from North Carolina, with the rest from Kentucky, Tennessee and Virginia. The 138-page report, Tobacco's Hidden Children, reveals the dangers and harmful conditions of tobacco work. It emphasizes the US lagging behind Brazil and India, the top two tobacco producers in the world, who have banned children from working in their fields. Lack of action from businesses The companies have the responsibility to monitor the conditions of and protect the human rights of their supply chain, says Margaret Wurth, HRW's lead researcher for the report. Wurth cites Philip Morris International (PMI) as a company with a great policy and definition of hazardous work but adds we still think there's room for more. In 2010, HRW released findings targeting PMI for child labor in Kazakhstan. Since then, PMI launched an Agriculture Labor Practices Program that establishes, reevaluates and enforces an internal company code of conduct. The company has also assisted in changing Kazakh legislation to allow for child farm workers to go to school. HRW and NC Field urge tobacco companies to invest in the communities in which child labor is prevalent, but also part of a family's earnings. They recommend companies work with advocacy organizations to provide scholarship funds and alternative job opportunities. In the US, a law allowing a child as young as 12 to work in agriculture conflicts with any company's business code of conduct. The problem worsens when coupled with a socioeconomic need in communities where all families must work to get by. Miguel Coleta, PMI's director of external labor policies, says these two factors must be addressed. He says PMI works closely with both farm owners and farm workers to touch all parts of the growing system that provides tobacco for the company. He cites the US as an environment that is very adversarial , but sees a need to collaborate with advocate organizations, unions and policy makers to make the same changes they have succeeded to implement in other countries. PMI contracted with Verit , a consulting company that has worked with large companies to understand and address labor rights issues in their contract and supply chains since the mid 1990s. The fact that this report is literally bringing the words of child workers to the companies is compelling and makes it essential that the companies respond, says Dan Viederman, CEO of",12
563304,guardian,money,business_economy,Chancellor George Osborne is concerned about the behaviour of some companies,"The Treasury is to outline plans to tackle rogue pension companies that have been applying punitive charges to over-55s trying to take advantage of the government’s new pension freedoms. On Thursday, a cap on excessive early exit charges for those looking to cash in their pension savings will be set out in a consultation paper. The Treasury will also look at how pensioners and industry experts can remove other barriers that may be stopping people enjoying the benefits of increased flexibility over their pension pot. The consultation paper confirms a U-turn set out by ministers a month ago, in the face of criticism that government reforms were presenting pension firms with the chance to rip clients off. It will also look at how the process for transferring pensions from one scheme to another could be quicker and smoother. Ministers have also written to the Financial Conduct Authority and the pensions regulator asking for information to be gathered from the industry regarding the fees and charges customers currently face. The government has already strengthened the right to transfer to a new pension scheme to enable people to shop around for the best deal. This consultation explores what more could be done to ensure that everyone has the opportunity to transfer their pension at a reasonable cost and within a reasonable timeframe. A Downing Street spokesperson said: “Our reforms have already proved extremely popular and are giving people real flexibility over their pensions savings for the first time. But it is not on that some people are missing out on that freedom because of expensive fees and other barriers that are blocking them from accessing their own money. “Our message is clear: the industry must sort this out or we will take action to guarantee people that freedom.” Chancellor George Osborne is concerned about the behaviour of some companies. Photograph: Matthew Horwood/PA The consultation will run for 12 weeks and a response will be published in the autumn. New rules that took effect in April abolish the requirement to convert a pension pot into an annuity – a product that provides an income for life – and leave people free to do whatever they like with their retirement cash. It means more than 300,000 people a year with defined contribution, also known as money purchase, pensions can access them once they turn 55. They can cash in some or all of their pot and spend the money as they wish, although those withdrawing large sums are likely to incur a hefty tax bill. Tens of thousands of people have already taken advantage of the new flexibility, but chancellor George Osborne said in June that “there are clearly concerns that some companies are not doing their part to make those freedoms available”. There has been growing concern that some people with older pension plans face punitive charges to access their own money. A report in the Financial Times suggested exit penalties could typically range between 5% and 15%, but could be as high as 50% in rare cases. Last month the issue made it onto",11
842742,guardian,money,business_economy,An office cleaner works at night,"Large numbers of cleaners in the commercial cleaning industry are experiencing underpayment or non-payment of their wages, a detailed report into pay and conditions of office cleaning staff has revealed. Commercial cleaning staff, usually women and migrant workers, complained of being frequently mistreated by employers, who often ignore obligations to provide holiday and sick pay, according to the new study by the Equality and Human Rights Commission (EHRC), The Invisible Workforce: Outsourcing and Employment in the Cleaning Sector. The report also cites disturbing examples of abuse of cleaning staff by agency bosses, and notes that often cleaners feel unable to report problems for fear of losing their jobs. It cites examples of workers who were sacked for complaining about not being paid in full and on time. Many cleaners said they felt that both their employers and staff at the client firms did not treat them with appropriate dignity and respect. Many spoke of being invisible and the lowest of the low , and of being spoken to rudely. The study, which focuses on the non-domestic sector, looked at cleaners working in offices and in the health, retail, transport and leisure sectors. The wholesale outsourcing of office cleaning to agencies from the 1970s (when most organisations had in-house cleaners) has led to downward pressure on wages and working conditions. Contracts often place cleaning firms under enormous pressure to deliver a high-quality service at the lowest cost possible. This often has a negative impact on employment practices, affecting pay, the intensity of work, job security, training and working hours, the report finds. The cleaning sector contributes more than 8bn to the British economy, and consists of around half a million workers, the report states. The workforce is comparatively old, with those between 45 and 54 years accounting for 26%, and those over 55 accounting for a further 22%. In London, migrant workers make up as much as 44% of the total workforce. Migrant workers' poor command of English and lack of knowledge about employment rights makes them particularly vulnerable to mistreatment. Cleaners interviewed reported pay rates for private sector contracts ranging between 5 and 7.50 an hour, indicating that some are paid below the national minimum wage of 6.31. While the study conceded that those who were underpaid were the minority, researchers found a significant number of workers are not paid in full, or do not receive the holiday or sick pay they are entitled to . Cleaning staff complained about unrealistic workloads and work intensification . They felt that clients and cleaning firms regularly underestimated the amount of hours or staff needed to do a particular job. As a result cleaning operatives had to work at a very fast pace for hours without a break, and this added to stress, the report says. When we complain, they punish us with more work. When you work at full speed, [so] you can't work any more, then people don't complain, a Bolivian woman employed by a cleaning firm, cleaning offices and student accommodation, said. The report states: Migrant workers did not seek redress as",6
1225831,guardian,business,business_economy,Heavy rain ahead of the event failed to dampen the enthusiasm of the participants like these from the Vila Isabel samba school,"Performers from the Vila Isabel samba school parade on a float during carnival celebrations at the Sambadrome in Rio de Janeiro Photograph: Felipe Dana/AP Brightly coloured contestants from the Grande Rio samba school show what they’re made of in the Sambadrome Photograph: Ricardo Moraes/Reuters A performer from the Academicos do Grande Rio samba school sets feathers flying with a flambuoyant costume Photograph: Leo Correa/AP Heavy rain ahead of the event failed to dampen the enthusiasm of the participants, like these from the Vila Isabel samba school Photograph: Yasuyoshi Chiba/AFP/Getty Images The dancers of the Mangueira samba school are caught up in a whirl of colour as they move through the Carnival parade Photograph: Leo Correa/AP The skies opened about an hour ahead of the start of the all-night-long extravaganza – but it wasn’t enough to stop the show Photograph: Peter Bauza/Corbis The parade is considered the highlight of the Rio de Janeiro Carnival, drawing large crowds of tourists and local alike Photograph: Peter Bauza/Corbis Performers from the Salgueiro samba school sweep down the course of the parade on their vivid float Photograph: Leo Correa/AP If anything, the performers were probably happy for the rain - as it keep temperatures comfortable rather than stifling Photograph: Leo Correa/AP Performers from six samba schools were on show in Rio’s Sambadrome on Sunday night, making their way down a runway more than 700 metres long Photograph: Yasuyoshi Chiba/AFP/Getty Images Performers from the Vila Isabel samba school parade during the carnival celebrations Photograph: Felipe Dana/AP Juliana Paesthe of the Viradouro samba school embodies the flavour and excitement of the show, the culmination of long hours of work and practice by thousands of performers Photograph: Ricardo Moraes/Reuters Performers from the Salgueiro samba school parade during carnival celebrations Photograph: Felipe Dana/AP Six more samba schools went on show on Monday night, with 12 schools in total vying for major prizes Photograph: INS News Agency Ltd/Rex Features",22
550810,guardian,sustainable-business,business_economy,Rubens living wall Victoria LondonDesigned to reduce urban flooding the living wall on the side of The Rubens at the Palace hotel contains more than 10000 herbaceous plants and is over 68ft high Gary Grant s design captures rainwater in storage tanks on the roof then slowly feeds it into the wall As well as reducing the volume of rainwater reaching the streets the wall attracts wildlife and reduces air and noise pollution Research has also demonstrated a link between urban green spaces and improved wellbeing,"The Bullitt Center, Seattle, Washington Beneath The Bullitt Center’s solar panels, a parapet roof captures rainwater which is then transported to the basement via a network of filters, producing potable water. Meanwhile, greywater from sinks and showers is collected and filtered through a man-made wetland before going back into the soil to maintain the local aquifer. Perhaps the most notable feature of these commercial office buildings, however, is the compost toilets, which use only two tablespoons of water per use. Photograph: View Pictures/Alamy Rubens living wall, Victoria, London Designed to reduce urban flooding, the living wall on the side of The Rubens at the Palace hotel contains more than 10,000 herbaceous plants and is over 68ft high. Gary Grant’s design captures rainwater in storage tanks on the roof then slowly feeds it into the wall. As well as reducing the volume of rainwater reaching the streets, the wall attracts wildlife and reduces air and noise pollution. Research has also demonstrated a link between urban green spaces and improved wellbeing. Photograph: The Rubens at the Palace Hotel Starbucks Coffee shop, Chicago, Illinois Water-efficient architecture is one thing, but if huge amounts of water are required to build the designs then there’s still a lot of work to be done. Welcome to upcycling, where materials are salvaged and repurposed. This Chicago coffee shop, for example, is built out of recycled shipping containers. Photograph: Alamy The SAHMRI building, Adelaide The “ disco bling” aesthetic of the South Australian Health and Medical Research Institute might be the most noticeable thing about this building, but it’s what’s inside that counts. As well as its energy-efficient design, the institute’s cooling towers and toilets use harvested rainwater and reused processed water instead of potable water. An intelligent, integrated building system provides real-time data on energy and water consumption. Photograph: John Quixley/Alamy O-S House, Racine, Wisconsin It’s not just big buildings with big budgets that can set an example. Two thirds of the rainwater this family home receives is fed into a groundwater percolation area; the rest is stored in large rain barrels and used for small maintenance projects and to water the vegetable garden. The driveway, entry path and terrace are permeable to avoid putting strain on the city’s sewer system, which in the past has been forced to send untreated water and sewage into Lake Michigan during heavy storms. Photograph: John J Macaulay/Johnsen Schmaling Architects Water-generating billboard, Lima It’s not every day you see a billboard that doubles up as a water generator – but that’s exactly what has been created in Lima. Rainfall might be minimal but humidity is high so generators can condense and filter the air moisture to obtain bulk water. While it is acknowledged that projects such as these are not solutions to widespread water insecurity, they encourage designers and engineers to think more broadly about solutions. Photograph: FCB Mayo The Edge, Amsterdam This year BREEAM named The Edge as the most sustainable building in the world after giving it an assessment score of 98.36% . As well as its passive temperature control, beautiful",86
714477,guardian,business,business_economy,George Osborne right hailed Lidl s store opening plans duriing a visit to the supermarket chain s store in Chessington Surrey with UK managing director Ronny Gottschlich,"The threat to the big four supermarkets from discount chains stepped up a notch on Fridayas Germany's Lidl unveiled plans for a 220m expansion in the UK. The company will open 20 more stores by the end of this year, taking its total to 620. It said the move would create a total of 2,500 jobs in the stores, at its headquarters in Wimbledon, south London, and at a distribution centre in Northfleet in the Thames estuary. Theannouncement came after the company spent 170m in the UK in 2013, opening 12 stores and creating 3,500 jobs. Ronny Gottschlich, Lidl UK's managing director, said: This latest phase in our growth is a testament to the continuing success of Lidl in the UK. The chancellor, George Osborne – who joined Gottschlich at the announcement – told the trade journal Retail Week that he shopped at the northern supermarket Booths but added: It's great news that Lidl is investing in thousands of new jobs across the UK – each job means security and a better future for another family and the country as a whole. The privately owned firm reported sales of 3.3bn last year with a 20% increase in the last 12 months helping Lidl grab a 3.6% share of the UK grocery market. Together with even faster growing rival discounter Aldi, Lidl controls about 8% of the UK grocery market while the big four supermarkets – Tesco, Sainsbury's, Morrisons and Asda – have lost out. Changing shopping habits have caused upheaval in the grocery market with Morrisons slashing its profits to deliver 1bn of price cuts and product improvements over three years while Sainsbury's has teamed up with Danish retailer Dansk Supermarked to bring the Netto discount chain back to the UK . Gottschlich said he was surprised that the two companies had teamed up. But Sainsbury's said it was compelled to take action as discounters are expected to see their share of the grocery market double to about 15% in the next five years. Amid widespread economic difficulties across Europe, Lidl's owner Schwarz Group is set to become western Europe's biggest grocery retailer by 2018 . The company, which is controlled by a German multibillionaire and owns the Kaufland hypermarket chain, is forecast to overtake French group Carrefour and Tesco by generating sales of €80bn ( 65bn) by 2018. Lidl has said it plans to eventually operate 1,500 stores across the UK",27
469507,guardian,money,business_economy,The holiday pay ruling could see a payout for eligible workers eventually,"The Employment Appeal Tribunal has ruled that overtime should be taken into account when holiday pay is assessed, following a case taken by the union Unite. What happens currently? Workers in the UK are entitled to 28 days off a year for which they receive pay. Some employers take into account any compulsory or guaranteed overtime when working out holiday pay, others simply use a worker’s basic pay. For people who regularly work overtime this can mean that their earnings fall when they take time off. What does the ruling mean? Employers will have to include your earnings from overtime when working out how much holiday pay you are entitled to. The tribunal decided that article 7 of the Working Time Directive meant that in the cases it was looking at overtime was part of the workers’ “normal” earnings and as such should be included when their holiday pay was worked out. About 5 million workers are thought to do paid overtime and the ruling sets a precedent for their employers. However, lawyers at Irwin Mitchell said it appeared that the rules would only apply to the 20 days holidays workers are entitled to under EU law, not the full 28 days they get under UK rules. Also, the judgment does not lay out how employers are supposed to assess normal pay – whether an average should be taken over 12 weeks or 12 months. This will fall to the government to decide. So can I claim back pay I missed out on? Unfortunately for workers, the bad news for employers was mitigated by the tribunal’s decision to limit back payments, so the ruling will not trigger an immediate payment of years of missed pay. The tribunal said that if there was a three month gap between deductions – holiday pay without overtime – it could only rule on the latest instance. It looks like that means employees can only make a claim if they have taken a holiday within the last three months. Richard Yeomans, employment partner at Addleshaw Goddard, said that the gap may “‘break the chain’ so that the employee cannot include the earlier holidays in a deduction from wages claim”. However, he said employees could instead consider a breach of contract claim going back up to six years. If you are a member of a union it might be able to help. The GMB union has asked its members who did not get the same pay during holiday as during the rest of the year to get in touch with it so that it can assess their claims. Will I get some extra pay? It’s unlikely that you will get anything soon. Lawyers say the decision is likely to be appealed, and while it is employers will sit tight. What will employers do? Some lawyers have warned that they might decide not to offer overtime in future. “In the longer term, the judgement could lead to employers dispensing with overtime and other types of allowances all together in a bid to limit future liability,” said Yeomans. “As many",12
1065491,guardian,money,business_economy,Sending a smiley emoticon on a text message could cost you dear if your phone converts the SMS into a more costly MMS picture message,"You might send one to signal your upbeat mood, but adding a smiley-faced emoticon to your text messages could leave you with a bill running into hundreds of pounds :( Users of some older smartphones including those from Samsung and reportedly Apple and HTC are finding that when they send a text message that includes a smiley face or other emoticon, the handset converts the SMS to a picture message. Also known as multimedia messages or MMSs, they can be as much as three times the cost of a standard text, meaning that regular users of emoticons can find themselves landed with an unexpectedly high bill at the end of the month. “The problem is that MMS is stuck in a timewarp,” said Ernest Doku, a telecoms expert at uswitch.com. “You have now got lots of data-driven services, such as WhatsApp, where people can send messages that are as long as they like with low charges. “But when emoticons are sent as part of a normal text message, they are sometimes being classified as images, thereby making the message a multimedia one, and the cost of these [MMS messages] is not included in any data packages.” Britain’s biggest network, EE, charges 40p for an MMS, compared with 12p for a standard text. Three charges 31p for an MMS and 2p for an SMS on its pay-as-you-go tariff. This week the Daily Record reported on the case of a woman who racked up a 1,200 bill over four months through the use of emoticons in texts. Hairdresser Paula Cochrane told the Record: “The adviser [at EE] explained that the charges were for emoticons, the Japanese smiley face symbols. I couldn’t believe it.” The consumer website moneysavingexpert.com first drew attention to the problem in December last year, reporting that the issue was one that affected only Samsung phones, but other reports suggest the issue is more widespread. A BBC report said iPhones may also be affected, a claim backed up by postings on some internet forums . Apple declined to comment, but said iPhone users can send free messages to other iOS or Mac users using iMessage over Wi-Fi. iPhones have an optional setting to disable MMS. A separate source told the Guardian they had seen evidence of the problem occurring on some older HTC phones, although a warning message was sent to the user that the SMS was being sent as an MMS. The mobile network operators are keen to blame the manufacturers, as the problem is limited to certain handsets. “Some smartphones may convert text messages [SMS] into picture messages [MMS] resulting in customers being charged for MMS messages when they were unaware of sending them to begin with,” said O2. “This is something that can happen but it is down to the handset and not as a result of the O2 network or the settings used for the O2 service.” EE said: “There are a number of factors which can affect whether customers are charged for sending an emoji usually by the settings on the handset and so is a manufacturer",25
1166114,guardian,business,business_economy,The Association of Learning Providers say the privatisation of Jobcentres is the next logical step,"The big companies handed multibillion-pound contracts to find employment for the longer-term jobless have called on the government to take the next step and privatise the country's jobcentres. The firms said they should be given the right to find work for the 1.7 million people who have been unemployed for a year or less. Payment-by-results contracts handed out by the Department for Work and Pensions cover the 850,000 people unemployed for more than a year. The employment minister, Chris Grayling, named 16 private and two voluntary-sector organisations as preferred bidders. They will have the freedom to design support in their own way. The contracts have been arranged geographically across 18 regions, with at least two contracts per region, and a total of 40 prime contracts being awarded. The Association of Learning Providers, which represents nearly three-quarters of the providers awarded contracts, called for the government to go further. Graham Hoyle, the chief executive, said: The next logical step is to privatise Jobcentre Plus and to allow it to compete with other providers in assisting people who have been out of work for a short or longer period. Small voluntary groups complained ministers had undermined the big society by handing the 5bn-plus contracts to big providers. A4e received five contracts and seven went to Ingeus, which is 50% owned by Deloitte and 50% owned by the Ingeus Group of Companies. The government argued that almost 300 voluntary organisations would be part of the new programme to tackle long-term benefit dependency. Nearly a quarter of the market by volume will be made up of new providers. The prime contractors will sub-contract to smaller firms and charities including groups such as Mencap, Citizens Advice, the Prince's Trust and Action for Blind People. The scheme, known as the Work Programme, is due to start this summer and is the biggest test of the government's plan to make public services more efficient by offering voluntary and private providers contracts based on payment by results. It also gives the providers unprecedented flexibility to decide what methods will best help the unemployed find work, including help with drug or drink addiction. Such schemes are due to form the model for David Cameron's reforms to public services, and will spread through health and prisoners' rehabilitation. Critics fear the contracts will either prove too complex or badly drawn, or lead to profiteering by a relatively small number of private-sector firms specialising in public-sector contracts. The model is largely untested internationally, and faces the risk of contracts being overtaken by sharp changes in the labour market.",15
1128481,guardian,sustainable-business,business_economy,Activists wearing masks of Myanmar s opposition leader Aung San Suu Kyi,"When Business Human Rights Resource Centre wrote to over 100 foreign companies investing or operating in Myanmar last year to ask them to publicly disclose details about their activities and human rights commitments, the result was indicative of how the issue of human rights is valued among the companies approached. To date about a quarter has provided relevant information on their human rights policies and due diligence efforts in Myanmar; another quarter is less engaged, providing only general statements about minimum legal or social responsibility requirements. Almost half has yet to respond at all. We started the project with the idea that Myanmar’s foreign investors would be well attuned to the business risks of their potential human rights impacts, and thus would readily engage on these issues, at least on paper. There is no shortage of reports on how business activities in Myanmar have been linked to serious rights abuses – including restrictions on freedom of expression, violence, as well as land and labour-related abuses. Related: What are multinationals doing to champion rights of millions trapped in modern-day slavery? Amnesty International, for example, recently issued a report (pdf) alleging that foreign mining companies have profited from – and in some cases colluded with – authorities in serious human rights abuses and illegal activity around the Monywa copper mine complex, formerly operated by Canada’s Ivanhoe Mines (now Turquoise Hill Resources), and now operated by Wanbao, a subsidiary of Chinese arms manufacturer Norinco. Community and nationwide protests in Myanmar sparked by allegations of land confiscations and environmental harm in connection with the mine led to suspension of operations, violence, and costly and significant reputational harms for the companies involved. Also recently, around 200 workers protested against a local subsidiary of Total over significant job losses and low compensation in an offshore gas project that has been in operation for more than a decade. Related: Opportunities and fears as Asean prepares for single market Similar reports come out on a regular basis. Aside from the business risks attached to these allegations, they paint an alarming pattern of businesses harming communities and, in the process, failing to generate the local prosperity the Myanmar government claims to aspire for. Myanmar was recently named one of the five top countries in the world for cheap labour by the Labor Costs Index, raising alarm among foreign investors about their vulnerability to accusations of exploitative labour practices. As Myanmar opens to the world and foreign companies rush into the largely untapped consumer and labour market, investors need to act responsibly for the benefit of local communities as well as their businesses. The Myanmar Investment Commission reported a total of $6.62bn ( 4.31bn) in foreign direct investment from April to December 2014 , almost doubling the total inflows from the previous fiscal year. We designed our Foreign Investment Tracking Project to create a public database on the human rights commitments of the foreign companies pouring in these billions and reaping profits therefrom. We wanted to encourage Myanmar’s foreign investors to publicly engage on rights issues in order to help ensure that",12
